
2024/11/09 (11:43:33) | ===> btop++ v.1.4.0
2024/11/09 (11:43:33) | INFO: Logger set to DEBUG
2024/11/09 (11:43:33) | DEBUG: Using locale es_MX.UTF-8
2024/11/09 (11:43:33) | INFO: Running on /dev/pts/1
2024/11/09 (11:43:33) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/11/09 (11:43:33) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/09 (11:43:33) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/09 (11:43:33) | DEBUG: Shared::init() : Initialized.
2024/11/09 (11:43:33) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_mocha.theme

2024/11/09 (12:12:34) | ===> btop++ v.1.4.0
2024/11/09 (12:12:34) | INFO: Logger set to DEBUG
2024/11/09 (12:12:34) | DEBUG: Using locale es_MX.UTF-8
2024/11/09 (12:12:34) | INFO: Running on /dev/pts/0
2024/11/09 (12:12:34) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/11/09 (12:12:34) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/09 (12:12:34) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/09 (12:12:34) | DEBUG: Shared::init() : Initialized.
2024/11/09 (12:12:34) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_mocha.theme
2024/11/09 (12:12:42) | DEBUG: Writing new config file
2024/11/09 (12:12:42) | INFO: Quitting! Runtime: 00:00:08

2024/11/09 (12:18:06) | ===> btop++ v.1.4.0
2024/11/09 (12:18:06) | INFO: Logger set to DEBUG
2024/11/09 (12:18:06) | DEBUG: Using locale es_MX.UTF-8
2024/11/09 (12:18:06) | INFO: Running on /dev/pts/0
2024/11/09 (12:18:07) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
